Workload,CPU_Load,Clock_Speed,Peak_RAM,Battery_Consumption,Normalized_CPU_Load,Normalized_Peak_RAM,Normalized_Clock_Speed,Normalized_Battery_Consumption
UW_Light,29.88,1893,5541.07,0,0.5659090909090909,0.3679389788293897,1.0,0.0
PR_16,0.0,1893,6556.16,0,0.0,1.0,1.0,0.0
PR_24,0.0,1893,6477.15,0,0.0,0.9508032378580322,1.0,0.0
PR_32,0.0,1813,6526.44,0,0.0,0.9814943960149438,0.0,0.0
PR_40,0.0,1813,6536.17,0,0.0,0.9875529265255294,0.0,0.0
PR_48,0.0,1893,6416.36,0,0.0,0.9129514321295142,1.0,0.0
PR_56,0.0,1893,6392.81,0,0.0,0.898287671232877,1.0,0.0
PR_64,0.0,1813,6413.37,0,0.0,0.9110896637608966,0.0,0.0
PR_72,52.8,1813,5965.88,0,1.0,0.6324533001245332,0.0,0.0
PR_80,30.2,1893,6015.74,0,0.571969696969697,0.6634993773349938,1.0,0.0
PR_88,37.08,1893,6076.54,0,0.7022727272727273,0.7013574097135742,1.0,0.0
PR_96,30.53,1893,6048.02,0,0.578219696969697,0.6835990037359904,1.0,0.0
PR_104,20.49,1893,5962.07,1,0.3880681818181818,0.6300809464508094,1.0,1.0
PR_111,13.35,1893,4950.16,0,0.2528409090909091,0.0,1.0,0.0
