Workload,Mean_Distance,CI_Lower,CI_Upper,Margin_Error
PR_16,1.308659709226379,0.9559454677815292,1.6613739506712286,0.35271424144484975
PR_24,1.2980707147922803,0.9583854385584708,1.63775599102609,0.3396852762338095
PR_32,0.7379259114657154,0.08694186180176766,1.3889099611296631,0.6509840496639477
PR_40,0.7408494443988269,0.09021630109391177,1.391482587703742,0.6506331433049152
PR_48,1.2911302297825173,0.9617385268031855,1.6205219327618492,0.3293917029793319
PR_56,1.28872587671941,0.9633760167507552,1.614075736688065,0.3253498599686548
PR_64,0.7158699654100195,0.07991617598626655,1.3518237548337724,0.6359537894237529
PR_72,0.6130747633569732,0.2379446642395298,0.9882048624744166,0.3751300991174434
PR_80,1.1336617835036285,1.0237600175632606,1.2435635494439963,0.10990176594036784
PR_88,1.1381201124311298,1.0144079216899642,1.2618323031722953,0.12371219074116556
PR_96,1.133780365054949,1.0200034489815795,1.2475572811283184,0.11377691607336955
PR_104,1.526848939400312,1.4276863455302418,1.6260115332703822,0.0991625938700702
PR_111,1.3461509606959392,1.1543148151779261,1.5379871062139523,0.19183614551801317
