"Workload,CPU_Load,Clock_Speed,Peak_RAM,Battery_Consumption"
"UW_Light,29.88,1893.00,5541.07,1.00"
"UW_Moderate,46.67,1893.00,5555.39,0.40"
"UW_Heavy,95.88,1893.00,6260.06,1.00"
"PR_64,0.00,1813,4487.91,0.00"
"PR_72,11.67,1866.33,4537.7,0.00"
"PR_80,18.73,1893,4537.88,0.00"
"PR_96,14.17,1893,4593.14,0.00"
"PR_104,14.38,1893,6180.38,1.33"
"PR_111,13.31,2031,5886.0033,4.67"
"ECM_64,46.65,1893,5330.91,0.00"
"ECM_72,52.20,1893,5262.15,0.00"
"ECM_80,40.95,1893,5277.65,0.33"
"ECM_88,58.63,1893,5159.67,0.00"
"ECM_112,45.08,1893,5011.85,0.33"
"ECM_120,40.57,1893,4812.35,2.00"
"ECM_128,43.63,1893,4625.84,2.33"
"ECM_136,39.44,1962,4497.39,3.67"
"ECM_176,93.58,2031,5107.35,11.67"
"ECM_180,93.07,2031,4724.56,8.67"
"QS_48,60.62,1893,5986.56,0"
"QS_56,53.20,1893,5534.91,0.33"
"QS_64,32.20,1893,5227.01,0.33"
"QS_72,25.22,1893,5035.27,0.67"
"QS_80,25.19,1893,4991.74,0.67"
"QS_88,24.84,2100,5231.14,3.33"
"QS_94,24.18,2100,5064.42,9.33"
